Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
21/02/1959,1958,1,Genclerbirligi,Adalet,0-1,1-1,2,0,D,0,0
21/02/1959,1958,1,Izmirspor,Beykoz 1908,2-0,2-1,3,1,H,0,0
21/02/1959,1958,1,Ankara Demirspor,Galatasaray,0-1,0-2,2,-2,A,0,0
21/02/1959,1958,1,Fenerbahce,MKE Ankaragucu,1-1,3-1,4,2,H,0,0
21/02/1959,1958,1,Altay,Besiktas,0-1,1-2,3,-1,A,0,0
21/02/1959,1958,1,Istanbulspor,Ankara Keciorengucu,0-0,0-2,2,-2,A,0,0
22/02/1959,1958,1,Altay,Beykoz 1908,0-1,2-2,4,0,D,0,0
22/02/1959,1958,1,Istanbulspor,MKE Ankaragucu,0-0,1-1,2,0,D,0,0
22/02/1959,1958,1,Fenerbahce,Ankara Keciorengucu,1-0,2-1,3,1,H,0,0
22/02/1959,1958,1,Genclerbirligi,Galatasaray,0-0,0-0,0,0,D,0,0
22/02/1959,1958,1,Ankara Demirspor,Adalet,2-0,2-0,2,2,H,0,0
22/02/1959,1958,1,Izmirspor,Besiktas,0-1,1-1,2,0,D,0,0
25/02/1959,1958,2,Beykoz 1908,Besiktas,0-0,1-0,1,1,H,0,0
25/02/1959,1958,2,Vefa,Fatih Karagumruk,0-0,1-0,1,1,H,0,0
28/02/1959,1958,2,Adalet,Goztepe,0-0,0-0,0,0,D,0,0
28/02/1959,1958,2,Izmirspor,Istanbulspor,0-0,2-0,2,2,H,0,0
28/02/1959,1958,2,Altay,Fenerbahce,0-1,0-1,1,-1,A,0,0
28/02/1959,1958,2,Galatasaray,Karsiyaka,1-0,1-1,2,0,D,0,0
01/03/1959,1958,2,Adalet,Karsiyaka,0-0,0-0,0,0,D,0,0
01/03/1959,1958,2,Altay,Istanbulspor,0-0,2-0,2,2,H,0,0
01/03/1959,1958,2,Izmirspor,Fenerbahce,0-0,0-0,0,0,D,0,0
01/03/1959,1958,2,Galatasaray,Goztepe,0-0,0-0,0,0,D,0,0
07/03/1959,1958,3,Genclerbirligi,Vefa,0-2,0-3,3,-3,A,0,0
07/03/1959,1958,3,Besiktas,Ankara Keciorengucu,2-1,3-2,5,1,H,0,0
07/03/1959,1958,3,Ankara Demirspor,Fatih Karagumruk,0-0,0-0,0,0,D,0,0
07/03/1959,1958,3,Beykoz 1908,MKE Ankaragucu,1-1,3-1,4,2,H,0,0
08/03/1959,1958,3,Besiktas,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
08/03/1959,1958,3,Altay,Izmirspor,0-1,1-1,2,0,D,0,0
08/03/1959,1958,3,Genclerbirligi,Fatih Karagumruk,0-1,0-1,1,-1,A,0,0
08/03/1959,1958,3,Goztepe,Karsiyaka,2-0,3-2,5,1,H,0,1
08/03/1959,1958,3,Beykoz 1908,Ankara Keciorengucu,0-0,0-1,1,-1,A,0,0
08/03/1959,1958,3,Ankara Demirspor,Vefa,0-0,1-1,2,0,D,0,0
11/03/1959,1958,4,Vefa,Galatasaray,0-0,0-0,0,0,D,0,0
11/03/1959,1958,4,Istanbulspor,Beykoz 1908,1-0,2-0,2,2,H,0,0
14/03/1959,1958,4,Besiktas,Istanbulspor,1-0,2-1,3,1,H,0,0
14/03/1959,1958,4,Ankara Demirspor,Karsiyaka,1-0,1-0,1,1,H,0,0
14/03/1959,1958,4,Genclerbirligi,Goztepe,2-2,2-2,4,0,D,0,0
14/03/1959,1958,4,Altay,Ankara Keciorengucu,0-0,1-0,1,1,H,0,0
15/03/1959,1958,4,Fenerbahce,Beykoz 1908,0-0,2-1,3,1,H,0,0
15/03/1959,1958,4,Izmirspor,Ankara Keciorengucu,1-0,1-0,1,1,H,0,0
15/03/1959,1958,4,Altay,MKE Ankaragucu,1-0,1-0,1,1,H,0,0
15/03/1959,1958,4,Galatasaray,Adalet,2-0,2-1,3,1,H,0,0
15/03/1959,1958,4,Genclerbirligi,Karsiyaka,0-1,1-1,2,0,D,1,1
15/03/1959,1958,4,Ankara Demirspor,Goztepe,0-1,1-1,2,0,D,0,0
17/03/1959,1958,4,Izmirspor,MKE Ankaragucu,1-0,1-0,1,1,H,0,0
18/03/1959,1958,5,Adalet,Fatih Karagumruk,0-0,1-1,2,0,D,0,0
18/03/1959,1958,5,Fenerbahce,Besiktas,0-0,1-0,1,1,H,0,0
21/03/1959,1958,2,Ankara Demirspor,Genclerbirligi,0-0,0-0,0,0,D,0,0
21/03/1959,1958,5,Beykoz 1908,Izmirspor,0-1,2-1,3,1,H,0,0
21/03/1959,1958,5,Goztepe,Vefa,0-0,0-1,1,-1,A,0,0
21/03/1959,1958,5,Istanbulspor,Altay,0-1,0-1,1,-1,A,0,0
21/03/1959,1958,5,Karsiyaka,Galatasaray,0-1,0-1,1,-1,A,0,0
22/03/1959,1958,5,Ankara Keciorengucu,MKE Ankaragucu,0-0,1-3,4,-2,A,0,0
22/03/1959,1958,5,Goztepe,Galatasaray,0-2,0-5,5,-5,A,0,0
22/03/1959,1958,5,Istanbulspor,Izmirspor,0-0,0-0,0,0,D,0,0
22/03/1959,1958,5,Beykoz 1908,Altay,1-1,2-2,4,0,D,0,0
22/03/1959,1958,5,Karsiyaka,Vefa,1-0,2-0,2,2,H,0,0
25/03/1959,1958,6,Vefa,Adalet,1-0,2-2,4,0,D,0,0
25/03/1959,1958,6,Galatasaray,Fatih Karagumruk,1-0,1-0,1,1,H,0,0
28/03/1959,1958,6,Besiktas,Izmirspor,1-0,2-0,2,2,H,0,0
28/03/1959,1958,6,Fenerbahce,Altay,1-0,1-1,2,0,D,0,0
28/03/1959,1958,6,MKE Ankaragucu,Beykoz 1908,2-1,2-2,4,0,D,0,0
28/03/1959,1958,6,Ankara Keciorengucu,Istanbulspor,1-1,1-1,2,0,D,0,0
29/03/1959,1958,6,Ankara Keciorengucu,Beykoz 1908,0-0,2-1,3,1,H,0,0
29/03/1959,1958,6,Fenerbahce,Izmirspor,1-0,1-0,1,1,H,0,0
29/03/1959,1958,6,MKE Ankaragucu,Istanbulspor,1-0,1-0,1,1,H,0,0
29/03/1959,1958,6,Besiktas,Altay,0-1,1-3,4,-2,A,0,0
08/04/1959,1958,7,Besiktas,Beykoz 1908,1-1,3-2,5,1,H,0,0
08/04/1959,1958,7,Fenerbahce,Istanbulspor,1-0,3-0,3,3,H,0,0
11/04/1959,1958,7,Karsiyaka,Fatih Karagumruk,0-0,0-3,3,-3,A,0,0
11/04/1959,1958,7,Galatasaray,Ankara Demirspor,1-1,1-2,3,-1,A,0,0
11/04/1959,1958,7,MKE Ankaragucu,Izmirspor,1-0,1-0,1,1,H,0,0
11/04/1959,1958,7,Vefa,Genclerbirligi,2-0,3-0,3,3,H,0,1
11/04/1959,1958,7,Ankara Keciorengucu,Altay,2-0,2-0,2,2,H,0,0
11/04/1959,1958,7,Goztepe,Adalet,1-2,2-3,5,-1,A,0,0
12/04/1959,1958,7,Goztepe,Fatih Karagumruk,1-0,3-0,3,3,H,0,0
12/04/1959,1958,7,Galatasaray,Genclerbirligi,0-0,0-0,0,0,D,0,0
12/04/1959,1958,7,Vefa,Ankara Demirspor,0-0,0-0,0,0,D,0,0
12/04/1959,1958,7,MKE Ankaragucu,Altay,1-0,2-1,3,1,H,0,1
12/04/1959,1958,7,Karsiyaka,Adalet,2-1,3-1,4,2,H,0,1
12/04/1959,1958,7,Ankara Keciorengucu,Izmirspor,1-0,1-0,1,1,H,0,0
18/04/1959,1958,8,Adalet,Genclerbirligi,2-3,2-3,5,-1,A,1,0
18/04/1959,1958,8,Ankara Keciorengucu,Fenerbahce,0-3,1-4,5,-3,A,0,0
18/04/1959,1958,8,Fatih Karagumruk,Ankara Demirspor,1-2,1-2,3,-1,A,0,0
18/04/1959,1958,8,MKE Ankaragucu,Besiktas,0-1,1-3,4,-2,A,0,0
19/04/1959,1958,8,Adalet,Ankara Demirspor,0-0,0-0,0,0,D,0,1
19/04/1959,1958,8,Ankara Keciorengucu,Besiktas,0-0,0-3,3,-3,A,0,0
19/04/1959,1958,8,Izmirspor,Altay,1-1,2-2,4,0,D,0,0
19/04/1959,1958,8,Karsiyaka,Goztepe,0-2,0-3,3,-3,A,0,0
19/04/1959,1958,8,MKE Ankaragucu,Fenerbahce,1-2,2-3,5,-1,A,0,0
19/04/1959,1958,8,Fatih Karagumruk,Genclerbirligi,2-0,2-1,3,1,H,0,0
29/04/1959,1958,9,Istanbulspor,Besiktas,1-0,1-2,3,-1,A,0,0
29/04/1959,1958,9,Adalet,Galatasaray,0-1,0-1,1,-1,A,0,0
02/05/1959,1958,9,Vefa,Goztepe,0-1,3-2,5,1,H,1,0
02/05/1959,1958,9,Fatih Karagumruk,Karsiyaka,0-0,2-2,4,0,D,0,0
03/05/1959,1958,9,Vefa,Karsiyaka,2-0,3-0,3,3,H,0,0
03/05/1959,1958,9,Fatih Karagumruk,Goztepe,0-1,1-1,2,0,D,0,0
09/05/1959,1958,9,MKE Ankaragucu,Ankara Keciorengucu,0-0,1-0,1,1,H,0,0
09/05/1959,1958,9,Genclerbirligi,Ankara Demirspor,0-0,0-0,0,0,D,0,0
13/05/1959,1958,10,Fatih Karagumruk,Vefa,1-1,1-2,3,-1,A,0,0
13/05/1959,1958,10,Beykoz 1908,Fenerbahce,0-1,0-1,1,-1,A,0,0
16/05/1959,1958,10,Beykoz 1908,Istanbulspor,0-0,0-0,0,0,D,1,0
16/05/1959,1958,10,Karsiyaka,Ankara Demirspor,0-1,1-1,2,0,D,0,0
16/05/1959,1958,10,Goztepe,Genclerbirligi,2-1,2-1,3,1,H,0,0
16/05/1959,1958,10,Fatih Karagumruk,Galatasaray,1-3,2-3,5,-1,A,0,0
17/05/1959,1958,10,Karsiyaka,Genclerbirligi,1-0,1-1,2,0,D,0,0
17/05/1959,1958,10,Besiktas,Fenerbahce,0-2,0-2,2,-2,A,0,0
17/05/1959,1958,10,Adalet,Vefa,1-0,1-1,2,0,D,0,0
17/05/1959,1958,10,Goztepe,Ankara Demirspor,2-0,4-2,6,2,H,0,0
06/06/1959,1958,11,Galatasaray,Vefa,0-0,1-1,2,0,D,0,0
07/06/1959,1958,11,Fatih Karagumruk,Adalet,1-0,3-0,3,3,H,0,0
07/06/1959,1958,11,Istanbulspor,Fenerbahce,0-3,0-5,5,-5,A,0,0
10/06/1959,1958,1,Galatasaray,Fenerbahce,1-0,1-0,1,1,H,0,0
14/06/1959,1958,1,Fenerbahce,Galatasaray,2-0,4-0,4,4,H,0,0
26/08/1959,1959,1,Galatasaray,Beykoz 1908,1-0,2-0,2,2,H,0,0
29/08/1959,1959,1,Fatih Karagumruk,Adalet,1-0,2-0,2,2,H,0,0
29/08/1959,1959,1,Fenerbahce,Ferikoy,0-0,2-1,3,1,H,0,0
29/08/1959,1959,1,Izmirspor,Karsiyaka,0-1,1-2,3,-1,A,0,0
30/08/1959,1959,1,Goztepe,Altinordu,0-0,0-0,0,0,D,0,0
30/08/1959,1959,1,Vefa,Besiktas,0-1,1-4,5,-3,A,0,0
30/08/1959,1959,1,Istanbulspor,Kasimpasa,1-0,1-0,1,1,H,0,1
02/09/1959,1959,2,Istanbulspor,Ferikoy,0-0,0-0,0,0,D,0,0
02/09/1959,1959,2,Fenerbahce,Kasimpasa,1-1,1-1,2,0,D,0,0
05/09/1959,1959,2,Istanbulspor,Fatih Karagumruk,3-0,3-0,3,3,H,0,0
05/09/1959,1959,2,Fenerbahce,Vefa,3-0,5-1,6,4,H,0,0
05/09/1959,1959,2,Izmirspor,Altinordu,0-0,1-0,1,1,H,0,0
06/09/1959,1959,2,Beykoz 1908,Adalet,0-0,0-0,0,0,D,0,0
06/09/1959,1959,2,Galatasaray,Ferikoy,2-0,3-0,3,3,H,0,0
06/09/1959,1959,2,Goztepe,Karsiyaka,0-0,1-0,1,1,H,0,0
09/09/1959,1959,3,Galatasaray,Kasimpasa,0-0,0-0,0,0,D,0,0
12/09/1959,1959,3,Turanspor,Ankara Keciorengucu,0-1,0-1,1,-1,A,0,0
12/09/1959,1959,3,Vefa,Adalet,1-0,1-0,1,1,H,0,0
12/09/1959,1959,3,Beykoz 1908,Besiktas,0-0,1-1,2,0,D,0,0
12/09/1959,1959,3,Genclerbirligi,MKE Ankaragucu,0-2,0-2,2,-2,A,1,1
13/09/1959,1959,3,Turanspor,Genclerbirligi,1-0,1-0,1,1,H,0,0
13/09/1959,1959,3,MKE Ankaragucu,Ankara Keciorengucu,0-0,1-1,2,0,D,0,0
19/09/1959,1959,4,Karsiyaka,Altay,2-0,2-0,2,2,H,0,0
19/09/1959,1959,4,Izmirspor,Ankara Demirspor,0-0,0-0,0,0,D,0,0
20/09/1959,1959,4,Karsiyaka,Ankara Demirspor,0-1,0-3,3,-3,A,0,0
20/09/1959,1959,4,Altay,Izmirspor,1-0,1-1,2,0,D,0,0
23/09/1959,1959,5,Fatih Karagumruk,Kasimpasa,1-1,1-2,3,-1,A,0,0
23/09/1959,1959,5,Besiktas,Ferikoy,1-0,3-0,3,3,H,0,0
26/09/1959,1959,5,Fatih Karagumruk,Ankara Keciorengucu,0-0,1-2,3,-1,A,0,0
26/09/1959,1959,5,Goztepe,Izmirspor,1-0,2-1,3,1,H,0,0
26/09/1959,1959,5,Galatasaray,Genclerbirligi,3-0,3-0,3,3,H,0,0
27/09/1959,1959,5,Fatih Karagumruk,Genclerbirligi,0-0,0-0,0,0,D,0,0
27/09/1959,1959,5,Galatasaray,Ankara Keciorengucu,1-0,1-0,1,1,H,0,0
27/09/1959,1959,5,Turanspor,MKE Ankaragucu,0-0,1-0,1,1,H,0,0
27/09/1959,1959,5,Karsiyaka,Altinordu,0-3,1-3,4,-2,A,0,0
30/09/1959,1959,6,Vefa,Kasimpasa,1-0,1-0,1,1,H,0,0
30/09/1959,1959,6,Galatasaray,Fatih Karagumruk,1-1,2-1,3,1,H,0,0
03/10/1959,1959,6,Vefa,Karsiyaka,0-2,0-4,4,-4,A,0,0
03/10/1959,1959,6,Ankara Keciorengucu,Istanbulspor,0-1,0-4,4,-4,A,0,0
03/10/1959,1959,6,Altinordu,Adalet,3-0,6-0,6,6,H,0,0
03/10/1959,1959,6,Fenerbahce,Izmirspor,0-2,2-2,4,0,D,1,0
03/10/1959,1959,6,Genclerbirligi,Ferikoy,2-0,3-0,3,3,H,0,0
03/10/1959,1959,6,Goztepe,Beykoz 1908,1-0,1-2,3,-1,A,0,0
04/10/1959,1959,6,Ankara Keciorengucu,Ferikoy,1-1,1-3,4,-2,A,0,0
04/10/1959,1959,6,Vefa,Izmirspor,2-1,3-2,5,1,H,0,0
04/10/1959,1959,6,Goztepe,Adalet,0-0,0-0,0,0,D,0,0
04/10/1959,1959,6,Fenerbahce,Karsiyaka,3-1,4-1,5,3,H,0,0
04/10/1959,1959,6,Altinordu,Beykoz 1908,0-0,0-0,0,0,D,0,0
04/10/1959,1959,6,Genclerbirligi,Istanbulspor,0-0,0-0,0,0,D,0,0
07/10/1959,1959,7,Besiktas,Fatih Karagumruk,1-0,2-0,2,2,H,0,0
07/10/1959,1959,7,Istanbulspor,Adalet,1-1,1-1,2,0,D,0,0
10/10/1959,1959,7,Turanspor,Karsiyaka,1-0,1-0,1,1,H,0,0
10/10/1959,1959,7,MKE Ankaragucu,Izmirspor,0-1,1-2,3,-1,A,0,0
10/10/1959,1959,7,Fatih Karagumruk,Altay,0-0,2-1,3,1,H,0,0
10/10/1959,1959,7,Galatasaray,Ankara Demirspor,3-0,4-1,5,3,H,0,0
11/10/1959,1959,7,Fatih Karagumruk,Ankara Demirspor,1-1,2-3,5,-1,A,0,0
11/10/1959,1959,7,Galatasaray,Altay,0-0,0-0,0,0,D,0,0
11/10/1959,1959,7,MKE Ankaragucu,Karsiyaka,3-0,3-1,4,2,H,0,0
11/10/1959,1959,7,Turanspor,Izmirspor,1-0,2-0,2,2,H,0,0
14/10/1959,1959,8,Istanbulspor,Vefa,1-1,1-2,3,-1,A,0,0
14/10/1959,1959,8,Beykoz 1908,Fenerbahce,1-2,1-2,3,-1,A,0,0
17/10/1959,1959,8,Goztepe,Kasimpasa,2-0,4-1,5,3,H,0,0
17/10/1959,1959,8,Adalet,Karsiyaka,2-0,2-1,3,1,H,0,0
17/10/1959,1959,8,Genclerbirligi,Vefa,1-0,3-0,3,3,H,0,0
17/10/1959,1959,8,Beykoz 1908,Izmirspor,0-1,1-1,2,0,D,0,0
17/10/1959,1959,8,Ankara Keciorengucu,Fenerbahce,1-1,1-3,4,-2,A,0,0
17/10/1959,1959,8,Altinordu,Besiktas,0-1,0-3,3,-3,A,0,0
18/10/1959,1959,8,Goztepe,Besiktas,0-1,0-1,1,-1,A,0,0
18/10/1959,1959,8,Beykoz 1908,Karsiyaka,1-0,1-0,1,1,H,0,0
18/10/1959,1959,8,Altinordu,Kasimpasa,0-2,1-3,4,-2,A,0,0
18/10/1959,1959,8,Adalet,Izmirspor,0-1,0-1,1,-1,A,0,0
18/10/1959,1959,8,Genclerbirligi,Fenerbahce,0-1,2-1,3,1,H,0,1
18/10/1959,1959,8,Ankara Keciorengucu,Vefa,0-0,0-0,0,0,D,0,0
21/10/1959,1959,9,Adalet,Ferikoy,1-0,2-0,2,2,H,0,1
21/10/1959,1959,9,Besiktas,Istanbulspor,0-1,1-1,2,0,D,0,0
24/10/1959,1959,9,Ankara Demirspor,MKE Ankaragucu,1-0,1-0,1,1,H,0,0
24/10/1959,1959,9,Galatasaray,Altinordu,4-0,8-0,8,8,H,0,0
24/10/1959,1959,9,Turanspor,Altay,0-1,0-1,1,-1,A,0,0
24/10/1959,1959,9,Fatih Karagumruk,Goztepe,2-0,2-0,2,2,H,0,1
25/10/1959,1959,9,Galatasaray,Goztepe,0-1,2-1,3,1,H,0,0
25/10/1959,1959,9,Ankara Demirspor,Turanspor,0-1,2-1,3,1,H,0,1
25/10/1959,1959,9,MKE Ankaragucu,Altay,0-1,1-3,4,-2,A,0,0
25/10/1959,1959,9,Fatih Karagumruk,Altinordu,0-1,2-2,4,0,D,0,0
28/10/1959,1959,10,Fenerbahce,Adalet,2-1,3-1,4,2,H,0,0
28/10/1959,1959,10,Vefa,Beykoz 1908,2-1,3-2,5,1,H,0,0
31/10/1959,1959,10,Fenerbahce,Turanspor,2-0,6-1,7,5,H,0,0
31/10/1959,1959,10,Vefa,MKE Ankaragucu,2-0,3-1,4,2,H,0,0
31/10/1959,1959,10,Izmirspor,Ferikoy,0-0,1-0,1,1,H,0,0
31/10/1959,1959,10,Karsiyaka,Istanbulspor,1-2,1-2,3,-1,A,0,0
01/11/1959,1959,10,Genclerbirligi,Ankara Keciorengucu,1-0,2-1,3,1,H,0,0
01/11/1959,1959,10,Karsiyaka,Ferikoy,1-0,2-0,2,2,H,0,1
01/11/1959,1959,10,Vefa,Turanspor,0-1,1-1,2,0,D,1,0
01/11/1959,1959,10,Fenerbahce,MKE Ankaragucu,3-0,5-1,6,4,H,0,1
01/11/1959,1959,10,Izmirspor,Istanbulspor,0-0,0-0,0,0,D,0,0
04/11/1959,1959,11,Ferikoy,Kasimpasa,0-0,1-1,2,0,D,0,0
04/11/1959,1959,11,Besiktas,Adalet,2-0,4-1,5,3,H,0,0
07/11/1959,1959,11,Genclerbirligi,Goztepe,0-0,0-0,0,0,D,0,0
07/11/1959,1959,11,Vefa,Altay,0-0,1-0,1,1,H,0,0
07/11/1959,1959,11,Ankara Keciorengucu,Altinordu,2-0,3-0,3,3,H,0,0
07/11/1959,1959,11,Fenerbahce,Ankara Demirspor,1-0,1-0,1,1,H,0,0
08/11/1959,1959,11,Genclerbirligi,Altinordu,1-0,3-1,4,2,H,0,0
08/11/1959,1959,11,Fenerbahce,Altay,3-0,5-0,5,5,H,0,0
08/11/1959,1959,11,Vefa,Ankara Demirspor,0-0,1-1,2,0,D,0,0
08/11/1959,1959,11,Ankara Keciorengucu,Goztepe,0-0,2-1,3,1,H,0,0
11/11/1959,1959,12,Kasimpasa,Besiktas,0-0,0-0,0,0,D,0,0
11/11/1959,1959,12,Ferikoy,Beykoz 1908,2-0,2-0,2,2,H,0,0
12/11/1959,1959,3,Fenerbahce,Fatih Karagumruk,0-1,0-2,2,-2,A,0,0
14/11/1959,1959,12,Istanbulspor,MKE Ankaragucu,1-0,1-1,2,0,D,0,0
14/11/1959,1959,12,Beykoz 1908,Ankara Demirspor,0-0,0-0,0,0,D,0,0
14/11/1959,1959,12,Altay,Adalet,1-0,2-0,2,2,H,0,0
14/11/1959,1959,12,Ferikoy,Turanspor,0-0,2-1,3,1,H,0,0
15/11/1959,1959,12,Ferikoy,MKE Ankaragucu,2-0,4-1,5,3,H,0,0
15/11/1959,1959,12,Adalet,Ankara Demirspor,1-0,1-2,3,-1,A,1,0
15/11/1959,1959,12,Altay,Beykoz 1908,1-2,3-2,5,1,H,0,0
15/11/1959,1959,12,Istanbulspor,Turanspor,1-0,1-1,2,0,D,0,0
18/11/1959,1959,13,Galatasaray,Adalet,0-0,1-1,2,0,D,0,0
18/11/1959,1959,13,Fatih Karagumruk,Vefa,1-0,2-0,2,2,H,0,0
21/11/1959,1959,13,Altay,Kasimpasa,0-0,0-1,1,-1,A,0,0
21/11/1959,1959,13,Ankara Demirspor,Besiktas,0-1,0-1,1,-1,A,0,0
21/11/1959,1959,13,Adalet,Genclerbirligi,0-0,0-1,1,-1,A,0,0
21/11/1959,1959,13,Beykoz 1908,Ankara Keciorengucu,0-1,0-3,3,-3,A,0,0
22/11/1959,1959,13,Adalet,Ankara Keciorengucu,1-1,4-2,6,2,H,0,0
22/11/1959,1959,13,Beykoz 1908,Genclerbirligi,0-0,1-0,1,1,H,0,0
22/11/1959,1959,13,Ankara Demirspor,Kasimpasa,0-0,0-0,0,0,D,0,0
22/11/1959,1959,13,Altay,Besiktas,0-2,0-3,3,-3,A,0,0
25/11/1959,1959,14,Fenerbahce,Istanbulspor,2-0,3-0,3,3,H,0,0
25/11/1959,1959,14,Altay,Ankara Demirspor,1-1,1-1,2,0,D,0,0
28/11/1959,1959,14,MKE Ankaragucu,Galatasaray,0-1,0-1,1,-1,A,0,0
28/11/1959,1959,14,Besiktas,Izmirspor,1-0,1-0,1,1,H,0,0
28/11/1959,1959,14,Turanspor,Fatih Karagumruk,2-1,3-1,4,2,H,0,0
28/11/1959,1959,14,Kasimpasa,Karsiyaka,0-0,0-0,0,0,D,0,0
28/11/1959,1959,14,Goztepe,Ankara Demirspor,1-1,2-2,4,0,D,0,0
28/11/1959,1959,14,Altinordu,Altay,3-0,4-1,5,3,H,0,0
29/11/1959,1959,14,Altinordu,Ankara Demirspor,0-1,1-2,3,-1,A,0,0
29/11/1959,1959,14,Turanspor,Galatasaray,1-0,1-1,2,0,D,0,0
29/11/1959,1959,14,Besiktas,Karsiyaka,2-0,6-0,6,6,H,0,0
29/11/1959,1959,14,Goztepe,Altay,3-0,3-1,4,2,H,0,0
29/11/1959,1959,14,MKE Ankaragucu,Fatih Karagumruk,0-0,0-0,0,0,D,0,0
29/11/1959,1959,14,Kasimpasa,Izmirspor,1-2,1-3,4,-2,A,0,0
02/12/1959,1959,15,Besiktas,Galatasaray,1-0,1-0,1,1,H,0,0
05/12/1959,1959,15,Istanbulspor,Altay,1-2,3-2,5,1,H,0,0
05/12/1959,1959,15,Karsiyaka,Genclerbirligi,0-1,0-1,1,-1,A,0,0
05/12/1959,1959,15,Ferikoy,Ankara Demirspor,1-0,2-1,3,1,H,0,0
05/12/1959,1959,15,Izmirspor,Ankara Keciorengucu,2-1,5-3,8,2,H,0,0
06/12/1959,1959,15,Karsiyaka,Ankara Keciorengucu,1-0,2-1,3,1,H,0,0
06/12/1959,1959,15,Istanbulspor,Ankara Demirspor,0-2,1-3,4,-2,A,0,0
06/12/1959,1959,15,Izmirspor,Genclerbirligi,3-1,4-1,5,3,H,0,0
06/12/1959,1959,15,Ferikoy,Altay,2-0,2-0,2,2,H,0,0
09/12/1959,1959,16,Istanbulspor,Beykoz 1908,1-0,1-0,1,1,H,0,0
09/12/1959,1959,16,Ferikoy,Vefa,0-0,1-0,1,1,H,0,0
12/12/1959,1959,16,Ankara Demirspor,Ankara Keciorengucu,0-0,1-0,1,1,H,0,0
12/12/1959,1959,16,Kasimpasa,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
12/12/1959,1959,16,Karsiyaka,Fatih Karagumruk,1-0,3-1,4,2,H,0,0
12/12/1959,1959,16,Besiktas,Turanspor,1-0,1-0,1,1,H,0,0
12/12/1959,1959,16,Genclerbirligi,Altay,3-0,5-0,5,5,H,0,0
12/12/1959,1959,16,Izmirspor,Galatasaray,2-1,3-3,6,0,D,0,0
13/12/1959,1959,16,Ankara Keciorengucu,Altay,1-0,1-1,2,0,D,0,0
13/12/1959,1959,16,Izmirspor,Fatih Karagumruk,0-1,1-1,2,0,D,0,0
13/12/1959,1959,16,Kasimpasa,Turanspor,0-0,3-2,5,1,H,0,0
13/12/1959,1959,16,Karsiyaka,Galatasaray,0-0,0-0,0,0,D,0,0
13/12/1959,1959,16,Ankara Demirspor,Genclerbirligi,0-0,1-1,2,0,D,1,1
13/12/1959,1959,16,Besiktas,MKE Ankaragucu,1-0,2-0,2,2,H,0,0
17/12/1959,1959,17,Fenerbahce,Galatasaray,0-0,1-0,1,1,H,0,0
19/12/1959,1959,17,Istanbulspor,Altinordu,2-0,2-1,3,1,H,0,0
19/12/1959,1959,17,MKE Ankaragucu,Beykoz 1908,0-0,1-1,2,0,D,0,0
19/12/1959,1959,17,Ferikoy,Goztepe,0-0,1-0,1,1,H,0,0
19/12/1959,1959,17,Turanspor,Adalet,0-1,0-2,2,-2,A,0,0
20/12/1959,1959,17,Ferikoy,Altinordu,0-0,1-0,1,1,H,0,0
20/12/1959,1959,17,Istanbulspor,Goztepe,0-0,0-0,0,0,D,0,0
20/12/1959,1959,17,MKE Ankaragucu,Adalet,1-0,1-0,1,1,H,0,0
20/12/1959,1959,17,Turanspor,Beykoz 1908,2-1,2-3,5,-1,A,0,0
26/12/1959,1959,18,Ankara Keciorengucu,Kasimpasa,0-0,4-0,4,4,H,0,0
26/12/1959,1959,18,Fatih Karagumruk,Ferikoy,1-1,2-1,3,1,H,0,0
26/12/1959,1959,18,Genclerbirligi,Besiktas,0-0,0-1,1,-1,A,0,0
27/12/1959,1959,18,Genclerbirligi,Kasimpasa,0-1,2-1,3,1,H,0,1
27/12/1959,1959,18,Ankara Keciorengucu,Besiktas,1-2,1-2,3,-1,A,0,1
27/12/1959,1959,18,Galatasaray,Istanbulspor,1-0,1-0,1,1,H,0,0
30/12/1959,1959,19,Fatih Karagumruk,Beykoz 1908,0-0,0-0,0,0,D,0,0
30/12/1959,1959,19,Kasimpasa,Adalet,1-0,3-0,3,3,H,0,0
02/01/1960,1959,19,Altinordu,MKE Ankaragucu,2-0,2-0,2,2,H,0,0
02/01/1960,1959,19,Beykoz 1908,Kasimpasa,1-0,1-0,1,1,H,1,0
02/01/1960,1959,19,Galatasaray,Vefa,0-0,0-0,0,0,D,1,0
02/01/1960,1959,19,Goztepe,Turanspor,0-0,0-0,0,0,D,0,0
03/01/1960,1959,19,Altinordu,Turanspor,0-2,1-3,4,-2,A,0,0
03/01/1960,1959,19,Besiktas,Fenerbahce,1-0,1-0,1,1,H,0,0
03/01/1960,1959,19,Goztepe,MKE Ankaragucu,3-1,3-2,5,1,H,0,0
09/01/1960,1959,18,Goztepe,Vefa,1-0,3-1,4,2,H,0,0
09/01/1960,1959,18,Altinordu,Fenerbahce,0-0,0-1,1,-1,A,0,0
10/01/1960,1959,18,Altinordu,Vefa,0-1,2-2,4,0,D,0,0
10/01/1960,1959,18,Goztepe,Fenerbahce,0-0,0-0,0,0,D,0,0
27/01/1960,1959,20,Adalet,Vefa,2-0,2-0,2,2,H,0,0
