Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
08/04/1962,1961,30,Genclerbirligi,Turanspor,0-1,1-1,2,0,D,1,0
08/04/1962,1961,30,Altinordu,Istanbulspor,0-0,2-1,3,1,H,0,0
08/04/1962,1961,30,Ankara Demirspor,Turk Telekom,0-0,2-0,2,2,H,0,0
08/04/1962,1961,30,Yesildirek,Izmirspor,3-1,3-1,4,2,H,0,1
11/04/1962,1961,31,Vefa,Kasimpasa,0-0,0-0,0,0,D,0,0
11/04/1962,1961,31,Beykoz 1908,Besiktas,0-4,0-6,6,-6,A,0,0
12/04/1962,1961,31,Vefa,Beykoz 1908,1-1,1-2,3,-1,A,1,0
12/04/1962,1961,31,Kasimpasa,Besiktas,0-0,0-0,0,0,D,0,0
14/04/1962,1961,31,Istanbulspor,Altay,2-0,5-0,5,5,H,0,0
14/04/1962,1961,31,Turanspor,MKE Ankaragucu,0-1,1-2,3,-1,A,0,0
14/04/1962,1961,31,Fenerbahce,Karsiyaka,2-0,4-0,4,4,H,0,0
14/04/1962,1961,31,Turk Telekom,Ferikoy,1-1,2-1,3,1,H,0,0
15/04/1962,1961,31,Goztepe,Izmirspor,1-1,2-1,3,1,H,0,0
15/04/1962,1961,31,Fenerbahce,Altay,0-0,0-0,0,0,D,0,0
15/04/1962,1961,31,Istanbulspor,Karsiyaka,0-0,1-0,1,1,H,0,0
15/04/1962,1961,31,Turanspor,Ferikoy,1-0,1-1,2,0,D,0,0
15/04/1962,1961,31,Turk Telekom,MKE Ankaragucu,0-1,1-1,2,0,D,0,0
18/04/1962,1961,32,Fatih Karagumruk,Kasimpasa,2-1,3-2,5,1,H,0,0
18/04/1962,1961,32,Yesildirek,Galatasaray,0-1,0-2,2,-2,A,0,0
21/04/1962,1961,32,Fatih Karagumruk,Ferikoy,1-0,1-1,2,0,D,0,0
21/04/1962,1961,32,Goztepe,Istanbulspor,0-0,0-0,0,0,D,0,0
21/04/1962,1961,32,Altay,Genclerbirligi,1-0,2-0,2,2,H,0,0
21/04/1962,1961,32,Vefa,Besiktas,0-0,3-0,3,3,H,0,1
22/04/1962,1961,32,Ferikoy,Vefa,0-1,0-1,1,-1,A,0,0
22/04/1962,1961,32,Ankara Demirspor,MKE Ankaragucu,0-2,0-3,3,-3,A,0,0
22/04/1962,1961,32,Fenerbahce,Fatih Karagumruk,0-0,1-0,1,1,H,0,1
22/04/1962,1961,32,Izmirspor,Istanbulspor,0-0,0-0,0,0,D,0,0
22/04/1962,1961,32,Goztepe,Genclerbirligi,2-1,3-2,5,1,H,0,0
28/04/1962,1961,28,Beykoz 1908,Ankara Demirspor,1-0,1-2,3,-1,A,0,0
28/04/1962,1961,28,Istanbulspor,Genclerbirligi,0-2,2-4,6,-2,A,1,0
29/04/1962,1961,28,Beykoz 1908,Genclerbirligi,0-0,0-3,3,-3,A,0,0
29/04/1962,1961,28,Istanbulspor,Ankara Demirspor,1-0,1-0,1,1,H,0,0
29/04/1962,1961,33,Turanspor,Izmirspor,0-0,0-0,0,0,D,0,0
29/04/1962,1961,33,Altinordu,MKE Ankaragucu,0-1,1-1,2,0,D,0,0
29/04/1962,1961,33,Turk Telekom,Altay,1-2,2-3,5,-1,A,0,0
03/05/1962,1961,27,Fatih Karagumruk,Beykoz 1908,0-1,0-2,2,-2,A,0,0
03/05/1962,1961,27,Besiktas,Yesildirek,0-1,1-1,2,0,D,0,1
05/05/1962,1961,34,Kasimpasa,Turanspor,1-0,2-0,2,2,H,0,0
05/05/1962,1961,34,Goztepe,Vefa,0-0,1-1,2,0,D,0,0
05/05/1962,1961,34,Izmirspor,Fenerbahce,0-0,1-2,3,-1,A,0,0
05/05/1962,1961,34,Galatasaray,MKE Ankaragucu,1-0,1-0,1,1,H,0,0
06/05/1962,1961,34,Kasimpasa,MKE Ankaragucu,0-1,2-2,4,0,D,0,1
06/05/1962,1961,34,Galatasaray,Turanspor,0-0,2-0,2,2,H,0,0
06/05/1962,1961,34,Genclerbirligi,Besiktas,0-1,1-2,3,-1,A,0,1
06/05/1962,1961,34,Goztepe,Fenerbahce,0-0,0-1,1,-1,A,1,2
06/05/1962,1961,34,Turk Telekom,Yesildirek,0-0,2-0,2,2,H,1,1
09/05/1962,1961,35,Kasimpasa,Yesildirek,0-2,1-3,4,-2,A,0,0
09/05/1962,1961,35,Ferikoy,Galatasaray,0-0,0-0,0,0,D,0,0
10/05/1962,1961,35,Vefa,Istanbulspor,1-0,1-1,2,0,D,0,0
10/05/1962,1961,35,Fenerbahce,Beykoz 1908,1-1,2-1,3,1,H,0,0
12/05/1962,1961,28,Karsiyaka,Fatih Karagumruk,2-0,3-2,5,1,H,0,0
12/05/1962,1961,28,Izmirspor,Besiktas,0-0,0-0,0,0,D,0,0
12/05/1962,1961,35,Ankara Demirspor,Genclerbirligi,0-1,1-2,3,-1,A,0,0
12/05/1962,1961,35,Yesildirek,Altinordu,0-1,1-1,2,0,D,0,0
12/05/1962,1961,35,MKE Ankaragucu,Istanbulspor,0-0,0-0,0,0,D,0,0
12/05/1962,1961,35,Vefa,Altay,0-0,1-0,1,1,H,0,0
13/05/1962,1961,28,Izmirspor,Fatih Karagumruk,2-1,4-1,5,3,H,0,0
13/05/1962,1961,35,Turk Telekom,Beykoz 1908,0-0,1-0,1,1,H,0,0
13/05/1962,1961,35,Yesildirek,Altay,1-0,1-0,1,1,H,0,0
13/05/1962,1961,35,Vefa,Altinordu,2-0,2-1,3,1,H,0,0
13/05/1962,1961,35,MKE Ankaragucu,Fenerbahce,0-1,0-3,3,-3,A,0,0
19/05/1962,1961,36,Yesildirek,Genclerbirligi,1-0,2-0,2,2,H,0,0
19/05/1962,1961,36,Kasimpasa,Ankara Demirspor,0-0,1-0,1,1,H,0,1
20/05/1962,1961,36,Turanspor,Fatih Karagumruk,0-0,0-1,1,-1,A,0,0
20/05/1962,1961,36,Yesildirek,Ankara Demirspor,0-1,0-1,1,-1,A,0,0
20/05/1962,1961,36,Altinordu,Altay,0-0,1-0,1,1,H,0,0
20/05/1962,1961,36,Kasimpasa,Genclerbirligi,1-1,2-2,4,0,D,0,0
20/05/1962,1961,36,Turk Telekom,Karsiyaka,2-1,3-1,4,2,H,0,0
23/05/1962,1961,37,Beykoz 1908,Ferikoy,0-0,0-0,0,0,D,0,0
23/05/1962,1961,37,Turanspor,Goztepe,0-1,0-1,1,-1,A,0,0
23/05/1962,1961,37,Istanbulspor,Besiktas,0-0,1-1,2,0,D,0,0
23/05/1962,1961,37,Ankara Demirspor,Altinordu,3-0,4-0,4,4,H,0,0
24/05/1962,1961,37,Fenerbahce,Galatasaray,0-0,1-0,1,1,H,0,0
26/05/1962,1961,37,Goztepe,Yesildirek,1-0,5-2,7,3,H,0,0
26/05/1962,1961,37,Altay,Besiktas,0-0,0-1,1,-1,A,0,0
26/05/1962,1961,37,Beykoz 1908,Izmirspor,0-2,3-2,5,1,H,0,0
26/05/1962,1961,37,Fatih Karagumruk,Turk Telekom,0-1,1-2,3,-1,A,0,0
27/05/1962,1961,37,Altay,Goztepe,0-0,2-1,3,1,H,0,0
27/05/1962,1961,37,Kasimpasa,Turk Telekom,1-0,1-1,2,0,D,0,0
27/05/1962,1961,37,Galatasaray,Izmirspor,1-0,1-0,1,1,H,0,0
27/05/1962,1961,37,Karsiyaka,Genclerbirligi,2-0,4-1,5,3,H,0,0
29/05/1962,1961,27,Besiktas,Fatih Karagumruk,0-2,2-2,4,0,D,0,0
29/05/1962,1961,27,Yesildirek,Beykoz 1908,1-2,1-5,6,-4,A,0,0
31/05/1962,1961,38,Fatih Karagumruk,Galatasaray,1-2,2-3,5,-1,A,0,0
31/05/1962,1961,38,Kasimpasa,Ferikoy,0-2,0-2,2,-2,A,0,0
02/06/1962,1961,38,Yesildirek,Karsiyaka,1-0,1-0,1,1,H,0,0
02/06/1962,1961,38,Beykoz 1908,Turanspor,1-2,2-2,4,0,D,0,0
03/06/1962,1961,38,Goztepe,Turk Telekom,0-0,2-1,3,1,H,0,0
03/06/1962,1961,38,Yesildirek,Turanspor,0-0,3-1,4,2,H,0,1
03/06/1962,1961,38,Altay,Fatih Karagumruk,0-0,1-0,1,1,H,0,0
03/06/1962,1961,38,Ferikoy,Karsiyaka,1-2,3-2,5,1,H,0,0
06/06/1962,1961,39,Vefa,Fenerbahce,1-0,1-0,1,1,H,0,0
06/06/1962,1961,39,Yesildirek,Fatih Karagumruk,1-2,2-3,5,-1,A,0,0
07/06/1962,1961,39,Besiktas,Galatasaray,1-1,1-1,2,0,D,0,1
09/06/1962,1961,39,Altinordu,Turanspor,3-1,4-2,6,2,H,0,0
09/06/1962,1961,39,Karsiyaka,Altay,2-1,3-3,6,0,D,0,0
09/06/1962,1961,39,Yesildirek,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
09/06/1962,1961,39,Ferikoy,Goztepe,0-1,0-2,2,-2,A,0,0
10/06/1962,1961,39,Galatasaray,Goztepe,0-2,0-2,2,-2,A,0,0
10/06/1962,1961,39,Altinordu,Karsiyaka,2-2,3-3,6,0,D,0,0
10/06/1962,1961,39,Beykoz 1908,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
13/06/1962,1961,40,Fenerbahce,Besiktas,0-2,0-2,2,-2,A,0,0
16/06/1962,1961,40,Fatih Karagumruk,Vefa,1-0,3-0,3,3,H,0,0
16/06/1962,1961,40,Istanbulspor,Galatasaray,1-2,1-4,5,-3,A,0,0
17/06/1962,1961,40,Kasimpasa,Altinordu,1-0,1-0,1,1,H,0,0
17/06/1962,1961,40,Turanspor,Turk Telekom,0-1,1-2,3,-1,A,0,0
17/06/1962,1961,40,Besiktas,Ferikoy,0-0,1-0,1,1,H,0,0
17/06/1962,1961,40,MKE Ankaragucu,Genclerbirligi,1-1,1-2,3,-1,A,0,0
18/06/1962,1961,40,Fatih Karagumruk,Istanbulspor,1-1,1-1,2,0,D,1,0
18/06/1962,1961,40,Beykoz 1908,Altinordu,0-0,1-1,2,0,D,0,0
24/06/1962,1961,28,Karsiyaka,Besiktas,0-0,1-0,1,1,H,1,0
08/09/1962,1962,1,Ankara Keciorengucu,Turk Telekom,1-1,4-1,5,3,H,0,0
08/09/1962,1962,1,Fenerbahce,Kasimpasa,0-0,0-0,0,0,D,0,0
08/09/1962,1962,1,Izmirspor,Altinordu,1-0,1-0,1,1,H,0,0
08/09/1962,1962,1,Beykoz 1908,Ferikoy,1-0,1-0,1,1,H,0,0
